Agency,ContactEmail,ContactName,ContactPhone,CustomId,ProjectNumber,ProjectType,additional_information,award_description,awarded_to,contract_amount,published_date,sub_contract_award
"Chesterfield, Town of 422 Main Rd.Chesterfield, MA 01012",Notify email address listed when final publish date assigned.,"Adam Lesko, Green Environmental Consulting, LLC",413-341-3418,CAN4/1/20134/10/201300028,TBD,General Contract , ,Asbestos Abatement.,"Karma Environmental Services, Inc.443 Summer St.Brockton, MA 02302","$22,850", 4/10/2013, 
"Chicopee, City ofHousing Authority128 Meetinghouse Rd.Chicopee, MA 01013",Notify email address listed when final publish date assigned.,Robert Kachinski,413-594-3605,CAN4/1/20134/10/201300029,061063,General Contract , ,Main distribution panel replacement at the Volpe Drive 705-1 apartments.,"Sommer Electric, Inc.60 Printworks DriveAdams, MA 01220","$39,800", 4/10/2013, 
"Developmental Services, Department of (DDS)Engineering Office500 Harrison Ave.Boston, MA 02118",Notify email address listed when final publish date assigned.,Sheila O'Brien,617-624-7887,CAN4/1/20134/10/201300030,DDS 13-19,General Contract , ,"Bathroom Renovations at 2 and 6 Fremont St., Taunton.","Dayco Construction Co.410 Loring Ave.Salem, MA 01970","$39,450", 4/10/2013, 
"Fish and Game, Department ofFisheries and Wildlife, Division of100 Hartwell St. Suite 230Westborough, MA 01581",Notify email address listed when final publish date assigned.,Lori Cookman,508-389-6371,CAN4/1/20134/10/201300031,DFW_2013_005,General Contract , ,"Repairs to a 40' X 80' barn, including replacing portions of sills, assessing structural integrity of the foundation, installing vents, loft doors, barn doors, pedestrian doors, non-opening windows (lights), as well as vinyl siding.","Mike's Construction Co., Inc.332 Mason Rd.Dudley, MA 01571","$34,900", 4/10/2013, 
"Gloucester, City of Purchasing Department9 Dale Ave.Gloucester, MA 01930",Do not notify email address listed when final publish date assigned.,Donna Compton,978-281-9710,CAN4/1/20134/10/201300032,13067,Designer Services , ,Designer Services for West Parish School.,"Dore & Whittier Architects, Inc.1795 Williston Rd. Suite 200South Burlington, VT 05403","$315,000", 4/10/2013, 
"Holliston, Town ofHousing Authority492 Washington St.Holliston, MA 01746",Notify email address listed when final publish date assigned.,Brenda Farrell,508 429-6266,CAN4/1/20134/10/201300033,DHCD FISH 136019,General Contract , ,"Repairs to and removal of existing asphalt shingle roofing system, minor exterior painting, repairs to exterior trim coverings and related work for the renovation of family housing 705-1.","One Way Painting & Roofing328 BroadwayLynn, MA 01904","$44,000", 4/10/2013, 
"Holyoke, City of Gas and Electric Department (HG&E)99 Suffolk St.Holyoke, MA 01040",Do not notify email address listed when final publish date assigned.,Yocelyn Delgado,413-536-9308,CAN4/1/20134/10/201300034,13-01,General Contract , ,Gas Welding Services Annual Contract.,"Jay's Mobile Welding97 Foster Rd.Southwick, MA  01077",Various Unit Prices, 4/10/2013, 
"Millbury, Town ofPublic Schools12 Martin St.Millbury, MA  01527",Notify email address listed when final publish date assigned.,"Richard G. Bedard, Jr.",508-865-9501,CAN4/1/20134/10/201300035,0186-1302,General Contract , ,MHS ERU Improvement Project.,"Renaud HVAC & Controls, Inc.18 Providence Rd.Sutton, MA  01590","$35,540", 4/10/2013, 
"Monomoy Regional School District81 Oak St.Harwich, MA 02645",Notify email address listed when final publish date assigned.,Kathleen Isernio,508-430-7200,CAN4/1/20134/10/201300036, ,General Contract , ,"New Construction of the 168,000 Square Foot Monomoy Regional High School.","Fontaine Brothers, Inc.510 Cottage St.Springfield, MA 01104","$49,374,000", 4/10/2013,"Masonry, Costa Brothers; Metal Fabrications, Heritage Iron Works; Sealants, P.J. Spillane; Roofing, Capeway; Metal Windows, G.V.W., Inc.; Glass and Glazing, Aluminum & Glass Concepts; Tile, Roman Tile; Ceilings, Cheviot Corp.; Flooring, Capital Carpet; Painting, Homer; Elevator, Associated; Fire Protection, Carlysle; Plumbing, Harold Brothers; HVAC, Arden Engineering; Electrical, Annese Electrical."
"Montachusett Regional Vocational Technical School District1050 Westminster St.Fitchburg, MA 01420",Notify email address listed when final publish date assigned.,Tammy Lajoie,978-345-9200 ext. 5214,CAN4/1/20134/10/201300037,RFQ Performance contract,General Contract , ,"Energy Management Services including HV and HVAC unit replacements, new roof, new energy system controls, lighting upgrades and miscellaneous energy conservation upgrades.","Trane Commercial SystemsIngersoll Rand255 Wildwood Ave.Woburn, MA 01801","$10,654,105", 4/10/2013, 
"Montague, Town of 1 Avenue ATurners Falls, MA 01376",Notify email address listed when final publish date assigned.,Bruce Hunter,413-863-9781 ext. 133,CAN4/1/20134/10/201300038,FY 2012 UP2,General Contract , ,"Unity Park Phase Two Improvements, Turners Falls.","Diversified Construction Services, LLC100 University DriveAmherst, MA 01002","$400,060", 4/10/2013, 
"Norfolk County614 High St.Dedham, MA 020026",Notify email address listed when final publish date assigned.,Nancy McNealy,781-461-6139,CAN4/1/20134/10/201300039, ,General Contract , ,Installation of two Gas Boilers and Conversion to Natural Gas.,"Industrial Burner Systems97 Rawson Rd.Quincy, MA 02169","$294,100", 4/10/2013, 
"Pittsfield, City of 70 Allen St.Pittsfield, MA 01201",Do not notify email address listed when final publish date assigned.,"Colleen Hunter-Mullett, MCPPO",413-499-9470,CAN4/1/20134/10/201300040,13-028,General Contract , ,City Hall Terrazzo Restoration.,"CoverAll Floors Corp.720 Union St.West Springfield, MA 01089","$28,547", 4/10/2013, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside DriveEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Bobbie Oakley,617-568-5950,CAN4/1/20134/10/201300041,L1025-C6,General Contract , ,"Finance Office Renovations at the Logan Office Center, East Boston.","Camdele Construction Co., Inc. 154 Salem St.Boston, MA 02113","$45,830", 4/10/2013, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside DriveEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Tony Saunders,617-568-5950,CAN4/1/20134/10/201300042,AP1307-C1,General Contract , ,"FY 13-15 Authority-Wide Term Automatic Entrance Door Repairs, Boston, Bedford and Worcester.","Automatic Door Systems, Inc.36 Capital DriveWallingford, CT  06492","$39,000", 4/10/2013, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside DriveEast Boston, MA 02128",Notify email address listed when final publish date assigned.,William Gray,617-568-5950,CAN4/1/20134/10/201300043,AP1310-C1,General Contract , ,FY13-15 Pump and Motor Service and Maintenance at All Massport Facilities in Boston and Bedford.,"Methuen Construction Co., Inc.40 Lowell Rd.Salem, NH 03079","$122,020", 4/10/2013, 
"Rowe, Town of321 Zoar Rd.Rowe, MA  01367",Do not notify email address listed when final publish date assigned.,"Ellen Miller, Administrator",413-339-5520,CAN4/1/20134/10/201300044, ,Designer Services , ,Owner's Project Manager for School Building Project.,"P-Three, Inc.150 Longwater DriveNorwell, MA  02061","$27,000 (Phase I only)", 4/10/2013, 
"Rowe, Town of 321 Zoar Rd.Rowe, MA  01367",Do not notify email address listed when final publish date assigned.,"Ellen Miller, Administrator",413-339-5520,CAN4/1/20134/10/201300045, ,Designer Services , ,Design services for new elementary school.,"Greenberg Associates Architects168 Westminster Rd.Putney, VT 05346","$100,000", 4/10/2013, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN4/1/20134/10/201300046,607262,General Contract , ,District 3:  Boring and Geotechnical Testing at Various Locations.,"New Hampshire Boring, Inc.40 Fordway St.Derry, NH  03038","$985,520", 4/10/2013, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN4/1/20134/10/201300047,607310,General Contract , ,District 6:  Boring and Geotechnical Testing at Various Locations.,"New Hampshire Boring, Inc.40 Fordway St.Derry, NH  03038","$1,040,890", 4/10/2013, 
"Westfield, City of 59 Court St.Westfield, MA  01085",Notify email address listed when final publish date assigned.,Tammy Tefft,413-572-6254,CAN4/1/20134/10/201300048,2390,General Contract , ,Well 8 Modification.,"Denis L. Maher Co., LLC75 Sculley Rd.Ayer, MA  01432","$20,950", 4/10/2013, 
"Bedford, Town of Department of Public Works314 The Great Rd.Bedford, MA 01730",Do not notify email address listed when final publish date assigned.,Karen Kennedy,781-275-7605,CAN4/11/20134/20/201300001,CL2013-2,Designer Services , ,"Cleaning and lining of approximately 7,000 feet of ten-inch water main on Great Rd. from Shawsheen Rd. to Fletcher Rd. and 1,000 feet of six-inch water main on Gray Terrace.","W. Walsh Co., Inc.32 Walton St.Attleboro, MA 02703","$886,937.80", 4/17/2013, 
"Boston, City ofHousing Authority52 Chauncy St.Boston, MA 02111",Do not notify email address listed when final publish date assigned.,Dan Casals, ,CAN4/11/20134/20/201300002,0708-02,General Contract , ,Domestic Hot Water Replacement at Eva White Development.,"Enterprise Equipment Co., Inc.276 Libbey Industrial ParkwayWeymouth, MA 02189","$241,564", 4/17/2013, 
"Cambridge, City of 795 Massachusetts Ave.Cambridge, MA 02139",Notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN4/11/20134/20/201300003,6033,General Contract , ,"Common Manhole Replacement, Contract No. 7.","Newport Construction Corp.164 Burke St.Nashua, NH 03060","$2,287,095", 4/17/2013, 
"Cambridge, City of Purchasing Department795 Massachusetts Ave.Cambridge, MA 02139",Notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN4/11/20134/20/201300004,6034A,General Contract , ,Water Treatment Plant Systems Maintenance Process Controls and Instrumentation.,"A/D Instruments Repair, Inc.23B South Main St.Newton, NH 03858","$100,000", 4/17/2013, 
"Hardwick, Town of P.O. Box 575307 Main St.Gilbertville, MA 01031",Notify email address listed when final publish date assigned.,Andrew Loew,413-781-6045,CAN4/11/20134/20/201300005, ,Designer Services , ,Gilbertville Infrastructure Improvements Project:  Engineering.,"Lenard Engineering, Inc.19 Midstate Drive Suite 200Auburn, MA 01501","$95,461 (Phase I activities only)", 4/17/2013, 
"Marblehead, Town ofBoard of Water and Sewer Commissioners100 Tower Way Building 11Marblehead, MA 01945",Do not notify email address listed when final publish date assigned.,Bethany Santangelo,978-648-6025,CAN4/11/20134/20/201300006,160,General Contract , ,"Pleasant St. Area Drainage Improvements, Phase I.","Joseph P. Cardillo & Son, Inc.One Melvin St.Wakefield, MA 01880","$2,466,520.82", 4/17/2013, 
"Middleborough, Town ofHousing Authority8 Benton St.Middleboro, MA 02346",Do not notify email address listed when final publish date assigned.,Josephine Ruthwicz,508-947-3824,CAN4/11/20134/20/201300007, ,General Contract , ,Installation of Six Bulkhead Doors.,"Bulkhead Doors, Inc.401 Wareham St.Middleboro, MA 02346","$12,462", 4/17/2013, 
"New Bedford, City ofHousing Authority725 Pleasant St.New Bedford, MA  02740",Notify email address listed when final publish date assigned.,James F. Costa,508-997-4824,CAN4/11/20134/20/201300008,NBHA 13-107 Painting,General Contract , ,Re-painting of exterior building components in accordance with the project manual at two federally aided public housing developments.,"Roumbakis Contracting, Inc.320 Water St.Fitchburg, MA 01420","$56,835.30", 4/17/2013, 
"New Bedford, City ofHousing Authority725 Pleasant St.New Bedford, MA  02740",Notify email address listed when final publish date assigned.,James F. Costa,508-997-4824,CAN4/11/20134/20/201300009,NBHA 13-108 Roofing,General Contract , ,"Replacement of old asphalt roofing shingles with new asphalt roofing shingles, including all labor and materials necessary to accomplish the work at two federally aided public housing developments.","Belcour Corp.99 Front St.Woonsocket, RI 02895","$136,600", 4/17/2013, 
"New Bedford, City ofHousing AuthorityModernization Department725 Pleasant St.New Bedford, MA  02710",Do not notify email address listed when final publish date assigned.,Susan M. Roderick,508-997-4852,CAN4/11/20134/20/201300010,NBHA 276-2012,General Contract , ,Replacement of Gutters and Trim at Bay Village.,"East Coast Construction Group, Inc.4 Sherwood DriveBedford, MA  01730","$65,340", 4/17/2013, 
"New Bedford, City ofHousing AuthorityModernization Department725 Pleasant St.New Bedford, MA  02710",Do not notify email address listed when final publish date assigned.,Susan M. Roderick,508-997-4852,CAN4/11/20134/20/201300011,NBHA 146-2013,Designer Services , ,Site and Building Rehabilitation of Westwood.,"Abacus Architects & Planners119 Braintree St.Boston, MA  02134","$230,000", 4/17/2013, 
"New Bedford, City ofHousing AuthorityModernization Department725 Pleasant St.New Bedford, MA  02710",Do not notify email address listed when final publish date assigned.,Susan M. Roderick,508-997-4852,CAN4/11/20134/20/201300012,NBHA 297-2012,General Contract , ,Trim and Gutter Replacement at Brickenwood.,"D.D.C. Construction20 Query St.New Bedford, MA  02745","$149,532", 4/17/2013, 
"Plymouth CountySheriff's Department24 Long Pond Rd.Plymouth, MA  02360",Do not notify email address listed when final publish date assigned.,"Michael T. Cheney, Director of Project Management", ,CAN4/11/20134/20/201300013,AL1,Designer Services , ,"Study and Design for Various Repairs and Renovations at the Plymouth County Sheriff's Department, Plymouth (House Doctor) (DSB List #12-13, Item #2).","C.B.I. Consulting, Inc.250 Dorchester Ave.Boston, MA 02127","$500,000", 4/17/2013, 
"Public Health, Department of Lemuel Shattuck Hospital170 Morton St.Jamaica Plain, MA 02130",Notify email address listed when final publish date assigned.,Barry Bergen, ,CAN4/11/20134/20/201300014,DPH.821713.418,General Contract , ,Asbestos Abatement Service Contract.,"New England Service Maintenance850 Washington St.Weymouth, MA 02189","$116,900", 4/17/2013, 
"Quincy, City ofHousing Authority80 Clay St.Quincy, MA 02170",Do not notify email address listed when final publish date assigned.,Houda Shuman,617-847-4378 ext. 200,CAN4/11/20134/20/201300015,2012-55 DHCD #243115,General Contract , ,Site Lighting Upgrade at State 667/1-4.,"Systems Electric Services387 Prospect PlaceRevere, MA 02151","$193,750", 4/17/2013, 
"Transportation, Department of (MassDOT)Highway Division10 Park Plaza Suite 6260Boston, MA  02116",Do not notify email address listed when final publish date assigned.,"Frank H. Kucharski, P.E.",857-368-9520,CAN4/11/20134/20/201300016,605616,General Contract , ,Becket:  Resurfacing and Related Work along a Section of Route 8 and 20/Chester and Jacobs Ladder Roads.,"The Lane Construction Corp.90 Fieldstone CourtCheshire, CT  06410","$2,468,285", 4/17/2013, 
